Product or Service Code,Product or Service Description,Contracting Agency Name,Contracting Department Name,Funding Agency Name,Principal Place of Performance City Name,Principal Place of Performance State Code,Principal Place of Performance Country Name,Signed Date,Extent Competed,Fair Opportunity/Limited Sources,Type of Contract,Description of Requirement,Vendor Name,PIID,Referenced  IDV PIID,DUNS Number,Action Obligation
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,11/3/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED - ENVIRONMENTAL INDICATORS AND REPORT ON THE ENVIRONMENT PROGRAM (ROE) SCIENTIFIC, TECHNICAL, AND ADMINISTRATIVE SUPPORT SERVICES 
IGF::CL::IGF","EASTERN RESEARCH GROUP, INC.",EPC12028,,112947395,"$131,940.00 "
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,12/24/2014,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED - ENVIRONMENTAL INDICATORS AND REPORT ON THE ENVIRONMENT PROGRAM (ROE) SCIENTIFIC, TECHNICAL, AND ADMINISTRATIVE SUPPORT SERVICES 
IGF::CL::IGF","EASTERN RESEARCH GROUP, INC.",EPC12028,,112947395,"$113,846.00 "
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,3/3/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED - ENVIRONMENTAL INDICATORS AND REPORT ON THE ENVIRONMENT PROGRAM (ROE) SCIENTIFIC, TECHNICAL, AND ADMINISTRATIVE SUPPORT SERVICES 
IGF::CL::IGF","EASTERN RESEARCH GROUP, INC.",EPC12028,,112947395,"$62,055.00 "
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,4/7/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED - ENVIRONMENTAL INDICATORS AND REPORT ON THE ENVIRONMENT PROGRAM (ROE) SCIENTIFIC, TECHNICAL, AND ADMINISTRATIVE SUPPORT SERVICES 
IGF::CL::IGF","EASTERN RESEARCH GROUP, INC.",EPC12028,,112947395,"$58,714.00 "
AB92,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,4/30/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"CLOSELY ASSOCIATED - ENVIRONMENTAL INDICATORS AND REPORT ON THE ENVIRONMENT PROGRAM (ROE) SCIENTIFIC, TECHNICAL, AND ADMINISTRATIVE SUPPORT SERVICES 
IGF::CL::IGF","EASTERN RESEARCH GROUP, INC.",EPC12028,,112947395,"$150,000.00 "
AB94,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,POTTSTOWN,PA,UNITED STATES,12/16/2014,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,"IGF::OT::IGF
URBAN SOIL TAXONOMIC DESCRIPTIONS AND CHARACTERIZATION OF SOIL PROPERTIES APPLIED TO THE SUSTAINABLE USE OF VACANT LAND","CEDARVILLE ENGINEERING GROUP, LLC",EP15C000028,,962659947,"$108,750.00 "
AB94,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,POTTSTOWN,PA,UNITED STATES,5/8/2015,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,"IGF::OT::IGF
CONTRACTOR TO PROVIDE GEOPROBE SERVICES THAT ARE NOT ABLE TO BE PROVIDED BY EPA IN SUPPORT OF URBAN SOIL TAXONOMIC DESCRIPTIONS AND CHARACTERIZATION OF SOIL PROPERTIES APPLIED TO THE SUSTAINABLE USE OF VACANT LAND","CEDARVILLE ENGINEERING GROUP, LLC",EP15C000028,,962659947,"$30,000.00 "
AB96,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (MANAGEMENT/SUPPORT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,1/6/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,"SUPERFUND SAMPLE MANAGEMENT OFFICE SUPPORT (SMO)
FUNDING ACTION",COMPUTER SCIENCES CORPORATION (3126),EPW06046,,135962137,"$70,594.66 "
AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,9/29/2015,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,"OTHER FUNCTIONS.  OPERATION AND MAINTENANCE OF THE AWBERC ANIMAL CARE FACILITY IN CINCINNATI, OH",ALPHA OMEGA BIOTECHNOLOGY SERVICES LLC,EPD11093,,120445577,"$355,915.00 "
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CINCINNATI,OH,UNITED STATES,7/7/2015,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,RADIATION SAFETY SUPPORT SERVICE FOR EPA CINCINNATI FACILITIES,"QUANTAFLUX,  LLC",EPC11032,,89170851,"$87,422.04 "
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,NARRAGANSETT,RI,UNITED STATES,4/9/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,OTHER FUNCTIONS - LABORATORY GLASSWARE PREPARATION SERVICES,SAI CONSULTING INC,EPD11091,,33756375,"$35,640.06 "
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,NARRAGANSETT,RI,UNITED STATES,9/9/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,OTHER FUNCTIONS - LABORATORY GLASSWARE PREPARATION SERVICES,SAI CONSULTING INC,EPD11091,,33756375,"$36,570.00 "
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,OAKLAND,CA,UNITED STATES,12/23/2014,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,IGF::OT::IGF  CALIFORNIA FUEL CELL PARTNERSHIP,"BEVILACQUA-KNIGHT, INC",EP15B000015,,132765876,"$85,000.00 "
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,OAK RIDGE,TN,UNITED STATES,2/24/2015,COMPETED UNDER SAP,,TIME AND MATERIALS,"IGF::OT::IGF 
SYSTEM OF REGISTRIES (SOR) AND DATA STANDARDS SUPPORT SERVICES UNDER EPA'S BPA FOR METADATA AND TERMINOLOGY SUPPORT SERVICES.  UNDER EPA'S BPA FOR METADATA AND TERMINOLOGY SUPPORT SERVICES.","INFORMATION INTERNATIONAL ASSOCIATES, INC",EPB13H00121,EP10H001216,804891851,"$100,000.00 "
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,OAK RIDGE,TN,UNITED STATES,6/11/2015,COMPETED UNDER SAP,,TIME AND MATERIALS,"IGF::OT::IGF 
ORD MANAGED VOCABULARY SUPPORT","INFORMATION INTERNATIONAL ASSOCIATES, INC",EPB13H00139,EP10H001216,804891851,"$45,000.00 "
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,6/12/2015,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,FOOD SERVICES AND EMPLOYEE STORE,ARAMARK CORPORATION,EPD11090,,7913098,"$30,635.64 "
AE25,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,KANSAS CITY,KS,UNITED STATES,4/10/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"IGF::CT::IGF
ASPECT LS1600 FILTER FABRICATION
US EPA OFFICE OF EMERGENCY MANAGEMENT",LR TECH INC,9,EPW12024,205140754,"$143,468.00 "
AE25,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,KANSAS CITY,KS,UNITED STATES,7/9/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF,LR TECH INC,10,EPW12024,205140754,"$70,000.00 "
AE25,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,,,,9/30/2015,FULL AND OPEN COMPETITION,,FIXED PRICE LEVEL OF EFFORT,"IGF::OT::IGF
ASPECT AIRBORNE INFRARED DETECTOR SUPPORT SYSTEMS",LR TECH INC,EPW12024,,205140754,"$250,000.00 "
AF11,R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CLEVELAND,OH,UNITED STATES,4/21/2015,COMPETED UNDER SAP,,FIRM FIXED PRICE,"GREAT LAKES BEACH STUDIES


IGF::OT::IGF",NORTHEAST OHIO REGIONAL SEWER DISTRICT,EP15W000184,,74554098,"$45,460.10 "
AF11,R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,DURHAM,NC,UNITED STATES,7/30/2015,COMPETED UNDER SAP,,FIRM FIXED PRICE,"STUDENT SERVICES CONTRACT

IGF::OT::IGF","AL-HAMDANI, ZAHRA",EP14W000304,,79380794,"$57,969.45 "
AG91,R&D- ENERGY: OTHER (BASIC RESEARCH),ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,WASHINGTON,DC,UNITED STATES,6/25/2015,COMPETED UNDER SAP,,FIRM FIXED PRICE,"IGF::OT::IGF 	OTHER FUNCTIONS
FOR IMPLEMENTATION OF AN US ENVIRONMENTAL PROTECTION AGENCY INITIATIVE TO INTEGRATE INDOOR AIR QUALITY PROTECTION INTO SCHOOL BUILDING, ENERGY UPGRADES AND RENOVATIONS.",MAINE INDOOR AIR QUALITY COUNCIL,EP15H000277,,175418586,"$125,000.00 "
