,index,Count
0,SUPPORT,1566
1,SERVICES,1067
2,ORDER,970
3,TASK,907
4,TASK  ORDER,841
5,FUNDING,767
6,MODIFICATION,678
7,CONTRACT,604
8,INCREMENTAL,456
9,TECHNICAL,429
10,SITE,409
11,PURPOSE,404
12,INCREMENTAL  FUNDING,393
13,REGION,345
14,SUPPORT  SERVICES,345
15,ENVIRONMENTAL,340
16,PERIOD,322
17,EPA,322
18,OPTION,312
19,PROGRAM,306
20,MANAGEMENT,302
21,AMOUNT,301
22,PURPOSE  MODIFICATION,299
23,TECHNICAL  SUPPORT,281
24,ACTION,263
25,SUPERFUND,257
26,PROVIDE,256
27,FUNCTIONS,240
28,OPTION  PERIOD,239
29,OFFICE,238
30,MAINTENANCE,238
31,WORK,230
32,WATER,212
33,REMEDIAL,209
34,FUNDS,202
35,DEVELOPMENT,200
36,FUNDING  AMOUNT,192
37,INFORMATION,182
38,ALL,182
39,ENERGY,174
40,NATIONAL,173
41,ANALYTICAL,171
42,OBLIGATE,170
43,ACTIVITIES,162
44,ASSOCIATED,160
45,STUDENT,159
46,ANALYSIS,159
47,CONTRACTOR,156
48,ASSESSMENT,155
49,CEILING,153
50,EXERCISE,153
51,RESPONSE,152
52,ENVIRONMENTAL  SERVICES,151
53,TERMS,149
54,CONDITIONS,141
55,TERMS  CONDITIONS,141
56,SERVICE,139
57,ALL  TERMS,136
58,RESEARCH,136
59,OPERATIONS,135
60,ALL  TERMS  CONDITIONS,134
61,CLOSELY  ASSOCIATED,133
62,CLOSELY,133
63,SYSTEM,133
64,REMOVAL,132
65,DATA,132
66,ANALYTICAL  SUPPORT,126
67,EXERCISE  OPTION,125
68,ASSISTANCE,125
69,REMAIN,123
70,STUDENT  SERVICES,121
71,QUALITY,120
72,REMEDIAL  ACTION,120
73,INCREMENTAL  FUNDING  AMOUNT,117
74,START,116
75,AWARD,114
76,EMERGENCY,113
77,PERFORMANCE,112
78,SERVICES  CONTRACT,111
79,SUPERFUND  SITE,111
80,IGF::CLCT::IGF,110
81,TERMS  CONDITIONS  REMAIN,109
